O, D, V, GetisG, p-value, pattern
24, 32, 991.1226343, 2.1103519187747093, 0.015, hot
1, 23, 1285.805614, 2.0436671173767627, 0.02, hot
24, 33, 1210.962032, 1.6320203385659808, 0.057, NS
12, 23, 607.1284846, 0.660030795661805, 0.264, NS
30, 7, 1260.108391, 2.9540944198067907, 0.002, hot
23, 4, 1270.556704, 0.12583568467699816, 0.439, NS
22, 27, 764.719202, 2.513713967694735, 0.004, hot
11, 30, 839.162702, -1.3833586617331795, 0.924, NS
1, 16, 1141.644043, 0.23891491790176006, 0.389, NS
37, 3, 969.1001141, 1.0135781998175497, 0.181, NS
18, 19, 1099.526336, 1.3322186870652928, 0.096, NS
9, 18, 878.7184522, 2.5220330070040635, 0.005, hot
27, 16, 998.1510111, 2.8567943042016566, 0.001, hot
27, 11, 868.3094824, 1.4547181977178505, 0.07, NS
3, 22, 1182.272765, -0.4288637993358996, 0.683, NS
33, 34, 1206.332136, 1.4397937562876446, 0.081, NS
15, 14, 1109.003274, -1.5640470030656373, 0.942, NS
17, 36, 1275.547529, 0.871786398079396, 0.204, NS
19, 37, 924.7047794, 0.6867614696472489, 0.239, NS
27, 34, 864.249672, 2.038547967584583, 0.022, hot
3, 34, 866.5782409, 2.5676954259267037, 0.004, hot
37, 28, 1026.670054, 1.8917616694665371, 0.033, hot
6, 22, 1277.028344, 2.5961603989544466, 0.008, hot
21, 17, 812.2508587, -1.6933280680495773, 0.954, cold
33, 21, 851.4322129, 0.9392988403438727, 0.173, NS
2, 22, 990.8835368, 0.8254106792602309, 0.202, NS
31, 6, 876.2333159, 1.9776484498228677, 0.021, hot
20, 12, 631.7188049, -0.20320073742535813, 0.599, NS
25, 23, 1144.582971, 1.9305122353591033, 0.03, hot
29, 4, 656.1866149, 1.6490265288496824, 0.05, hot
31, 31, 767.0544152, 2.2758832811775336, 0.007, hot
31, 23, 958.629427, 1.0418312244354033, 0.146, NS
25, 24, 954.205001, 2.4821089803914487, 0.004, hot
9, 23, 928.0253031, 0.9920393773427965, 0.16, NS
23, 33, 1014.397218, 1.7304316796971533, 0.059, NS
27, 21, 819.9890655, 0.966793523602315, 0.163, NS
22, 17, 1009.434016, 1.1379611618412475, 0.125, NS
4, 27, 890.7741415, -1.3481249363299233, 0.913, NS
4, 5, 1030.730065, 1.9200318848893334, 0.027, hot
2, 20, 1180.690771, 0.5679668951161873, 0.275, NS
28, 31, 1074.395992, 3.91628423232197, 0.0, hot
33, 19, 1042.864838, 0.8239032172654106, 0.191, NS
35, 21, 907.4500693, 0.7075933693008098, 0.231, NS
36, 21, 861.9104138, -0.6749817781606794, 0.759, NS
36, 22, 608.6624594, 0.7944840035075449, 0.22, NS
18, 35, 646.201738, 3.3163338004799905, 0.0, hot
33, 18, 775.0406533, 2.140791044349772, 0.019, hot
12, 4, 891.8300634, 1.330805529804757, 0.104, NS
20, 5, 886.9731831, 2.9192001072715374, 0.001, hot
33, 27, 1253.525828, 2.960994522059949, 0.003, hot
35, 14, 1284.082656, 1.453503628751213, 0.078, NS
26, 6, 835.7904523, -0.3238143571642034, 0.618, NS
25, 35, 865.6436035, 0.3317850536203013, 0.41, NS
5, 24, 1576.945943, 1.3781020348598934, 0.098, NS
11, 25, 653.0244881, 1.755780782702998, 0.03, hot
15, 37, 755.1942919, -0.6945043327702338, 0.726, NS
3, 5, 942.2013048, 1.9415508933585548, 0.03, hot
22, 2, 788.4819547, 1.4209375158094388, 0.073, NS
26, 7, 894.6922395, 2.319221246112002, 0.01, hot
11, 35, 1248.279327, 1.7795374768473424, 0.038, hot
31, 1, 1331.716601, 1.9512072795553677, 0.023, hot
15, 22, 1307.754232, -0.12973291117079544, 0.535, NS
13, 34, 788.6034198, 3.8701144088850783, 0.0, hot
22, 37, 910.4445742, 1.3421570047722204, 0.095, NS
32, 3, 1006.361749, -0.14980894350860346, 0.548, NS
20, 19, 980.4005042, 1.5692645210292848, 0.064, NS
4, 23, 1070.157295, 0.6702731392790271, 0.238, NS
24, 21, 1211.009918, 1.746076688649895, 0.045, hot
36, 25, 883.5292024, 3.121659872248937, 0.0, hot
6, 32, 1208.816396, 2.4676740838657913, 0.013, hot
20, 23, 843.0268603, 1.2643526893926804, 0.107, NS
20, 31, 1094.565482, 2.3873726088969267, 0.008, hot
9, 32, 1018.8489, 2.866943829184938, 0.003, hot
35, 11, 1171.134799, 1.6513211629465139, 0.051, NS
1, 22, 805.3800579, -0.22724888967421614, 0.581, NS
35, 34, 1411.514397, 1.809818332722068, 0.033, hot
31, 24, 532.0357575, 2.533265160935447, 0.004, hot
10, 12, 852.7396956, -1.0076244113170416, 0.843, NS
16, 6, 1333.136556, 2.484865372319682, 0.005, hot
31, 16, 865.8002025, 2.240739232970442, 0.01, hot
37, 7, 602.0383188, 2.5609848658216, 0.008, hot
34, 23, 665.9829251, 2.4470636759941393, 0.009, hot
34, 11, 1075.417325, 0.35227107238178373, 0.383, NS
20, 4, 665.4190798, 2.2216775885845736, 0.01, hot
13, 11, 985.0334521, -1.300602045244617, 0.915, NS
24, 11, 1096.31821, 2.8399141784065653, 0.002, hot
17, 11, 942.344433, -1.4366060652447128, 0.922, NS
19, 6, 1011.985107, 2.427652323906788, 0.009, hot
16, 13, 1211.567784, 1.409446371903442, 0.071, NS
11, 12, 1365.736667, 1.04887559654812, 0.14, NS
17, 34, 1219.774678, 2.4857486389562045, 0.006, hot
25, 5, 766.1482385, 0.4323544552533355, 0.322, NS
9, 3, 1255.451559, 1.5664573782046576, 0.056, NS
21, 37, 1103.096828, -2.4683636473914583, 0.992, cold
17, 22, 1344.211093, -1.1108164972373238, 0.876, NS
31, 36, 1083.266358, 1.0244435323909233, 0.164, NS
5, 13, 800.4836806, 1.8529204329989475, 0.036, hot
20, 27, 1223.767211, -1.4566033352123298, 0.916, NS
34, 12, 945.6470039, -0.19861440629935145, 0.581, NS
17, 19, 1293.478837, 1.4221014450495415, 0.078, NS
37, 24, 737.245036, 1.3999670847776544, 0.082, NS
25, 36, 1088.532591, 0.7963157320860439, 0.218, NS
21, 19, 986.8174413, 0.5879431621370033, 0.288, NS
18, 33, 965.1203603, 1.1461575694072201, 0.151, NS
32, 33, 1121.191855, 1.2277649288043768, 0.099, NS
1, 27, 1290.157704, -0.858949716342851, 0.812, NS
6, 29, 651.6233604, 0.2905773490203719, 0.408, NS
6, 17, 995.4578596, 0.6165917145035756, 0.283, NS
5, 33, 659.1187833, 2.309240810785885, 0.014, hot
24, 31, 1330.913401, 1.9125622894786656, 0.028, hot
35, 6, 1287.579417, 2.575796558235695, 0.002, hot
12, 6, 1035.129022, 3.3475672747847764, 0.0, hot
16, 30, 968.5380792, 0.7289849212893906, 0.216, NS
27, 26, 884.4016079, 1.3927515430252209, 0.08, NS
33, 2, 984.7631025, 1.2868269273315565, 0.089, NS
16, 35, 1020.823532, 2.6487377660662443, 0.003, hot
5, 7, 1130.884169, 0.6276969377857318, 0.278, NS
15, 10, 1346.52832, -1.7095650448626016, 0.956, cold
5, 27, 853.5218848, 1.435809997399881, 0.086, NS
25, 16, 1008.67703, 2.301289878344509, 0.015, hot
2, 30, 1408.70291, 0.7609641607392146, 0.236, NS
2, 8, 776.1468797, 1.4629042156910324, 0.062, NS
28, 22, 895.5566925, 0.9579957761018643, 0.185, NS
6, 12, 622.8337896, 1.6263680328018348, 0.064, NS
12, 16, 1177.023484, 1.863405652913868, 0.028, hot
6, 8, 753.0482085, -0.4578693059279366, 0.676, NS
15, 12, 957.7454766, 0.7359132161987529, 0.212, NS
36, 9, 884.2078773, -0.21075008424100172, 0.61, NS
26, 1, 746.8541152, -2.1139305566312854, 0.99, cold
22, 31, 829.5404016, 1.4658707656858863, 0.063, NS
26, 19, 1125.95781, 2.4972222627472496, 0.007, hot
25, 37, 1020.063603, 2.3423102918710033, 0.011, hot
33, 35, 927.6608053, 1.3733213213098183, 0.066, NS
19, 28, 803.3038381, 2.2089957261954924, 0.01, hot
18, 4, 822.7742812, 2.8461051047259383, 0.001, hot
10, 28, 1290.628601, 0.7959506911956156, 0.205, NS
10, 16, 1152.329131, 0.03356148647878842, 0.51, NS
8, 28, 1420.458058, 0.5279888552779921, 0.291, NS
18, 36, 721.6195212, 1.442358983810531, 0.079, NS
31, 28, 861.6771607, 2.8351148155155657, 0.001, hot
36, 26, 1050.888478, 3.1743725207608233, 0.0, hot
26, 31, 1250.45034, 2.8037313816198712, 0.001, hot
35, 31, 1049.695794, 2.502681806488849, 0.005, hot
22, 32, 1021.881119, 1.691143958763724, 0.039, hot
25, 4, 713.2715515, 0.6271042617835098, 0.25, NS
14, 5, 1271.180864, 2.2064056731745425, 0.015, hot
11, 7, 975.3216754, 2.1378875233763512, 0.02, hot
32, 16, 991.2509142, 1.1371537602086648, 0.123, NS
33, 3, 960.4283191, 1.068924682134053, 0.13, NS
24, 10, 865.1339766, 1.9597384263596171, 0.022, hot
23, 10, 1478.875039, 1.8059388207452678, 0.028, hot
10, 25, 847.9444624, 0.9149548150328441, 0.172, NS
17, 28, 819.4563691, -0.29485281762808835, 0.604, NS
16, 3, 1080.773654, 0.8110034669433324, 0.21, NS
5, 1, 1116.519905, 1.736249112813148, 0.049, hot
24, 6, 844.6288591, 1.321384837660094, 0.079, NS
29, 7, 969.7063977, 3.088043964327951, 0.001, hot
24, 19, 1187.197653, 1.7606845668618614, 0.033, hot
12, 1, 981.1563043, 2.248607321599566, 0.015, hot
31, 35, 713.3379027, 0.48767291770178034, 0.289, NS
32, 11, 922.4138443, 0.21182677154794752, 0.433, NS
34, 5, 1293.331817, 1.7720103459279215, 0.042, hot
12, 18, 705.1856462, 2.9569201673611123, 0.0, hot
28, 6, 973.5911099, -2.2444926521040256, 0.983, cold
29, 31, 1059.074609, 3.4120943698935218, 0.0, hot
24, 36, 1228.512223, 1.5814450559237196, 0.063, NS
13, 33, 590.0058947, 1.72327696177052, 0.035, hot
1, 7, 784.3352671, 1.908719149957939, 0.029, hot
6, 19, 1184.888901, 3.3918262735685145, 0.0, hot
20, 16, 1055.659502, 0.24809352911863267, 0.417, NS
27, 15, 1146.704608, 0.23894222584775202, 0.405, NS
28, 5, 1190.722606, 2.6020425334624977, 0.004, hot
17, 23, 801.1295026, 2.01713887834529, 0.012, hot
24, 14, 475.6401515, 2.8542284231745074, 0.002, hot
2, 15, 866.1996294, 1.3453021715349764, 0.098, NS
36, 29, 1417.150822, -0.3539513643492377, 0.66, NS
26, 30, 1022.979391, -1.6953340699163615, 0.958, cold
14, 27, 853.7235285, -2.0515265405737115, 0.984, cold
15, 33, 1046.313091, 1.4956464462245969, 0.044, hot
31, 29, 1148.151795, 3.506889193188208, 0.001, hot
12, 32, 1411.14461, 2.082529063932433, 0.014, hot
36, 4, 970.1054005, 2.7269533051441877, 0.002, hot
24, 20, 1455.928328, 1.0656324216945634, 0.133, NS
12, 30, 1019.892036, 2.605028459526724, 0.006, hot
14, 7, 951.3671979, 3.4856054278137028, 0.0, hot
5, 16, 1543.733416, 2.3509693150531072, 0.007, hot
22, 12, 941.5124013, 1.5393507028411908, 0.052, NS
24, 37, 727.8223308, 3.1922549981120674, 0.0, hot
36, 14, 1122.459488, -1.7546518896833736, 0.965, cold
22, 1, 1252.572291, 1.2703363142511535, 0.107, NS
11, 23, 868.6160893, 2.4487534786910286, 0.003, hot
5, 35, 1067.824501, 1.1945701679755099, 0.129, NS
17, 25, 708.0954356, 1.323702562812194, 0.075, NS
37, 20, 1017.16258, 0.9653127598713586, 0.165, NS
26, 36, 1348.335197, 1.6059183791752665, 0.065, NS
36, 30, 660.8051317, -2.1839342926320207, 0.989, cold
12, 17, 583.215246, 3.086979749959012, 0.002, hot
2, 17, 933.1130302, 1.4152151748933917, 0.074, NS
14, 34, 989.2210653, 3.6210034794634476, 0.0, hot
22, 24, 1081.164663, 1.0766628267035636, 0.151, NS
13, 6, 1094.801606, -3.1062912402080984, 0.998, cold
37, 16, 865.3348625, 0.7292374038568555, 0.219, NS
31, 27, 1059.899169, 1.8643502590409664, 0.025, hot
33, 26, 1129.724951, 1.7585335969501856, 0.035, hot
26, 23, 907.9032659, 2.1504492156754305, 0.013, hot
16, 1, 621.446844, 1.7311360579679278, 0.04, hot
16, 26, 776.488547, 1.6164510740705418, 0.048, hot
21, 15, 683.5251254, -2.33536081285792, 0.99, cold
6, 36, 838.960244, 1.9698292339224457, 0.023, hot
11, 2, 785.4196938, 0.2726835194672265, 0.392, NS
25, 25, 1243.727076, 1.0664414003032858, 0.15, NS
6, 9, 1012.930139, 0.0029556818989618636, 0.513, NS
5, 12, 1136.553174, 2.177255387873291, 0.019, hot
19, 15, 950.6736185, 0.0711447139171658, 0.465, NS
2, 12, 747.7370135, 2.360935279197415, 0.005, hot
24, 24, 1100.17415, 2.441152044741914, 0.008, hot
18, 5, 741.444239, 3.212630589128401, 0.001, hot
29, 5, 1054.2117, 1.740014728240773, 0.049, hot
27, 6, 888.4096741, 1.0622261659759895, 0.132, NS
10, 7, 1108.570962, 3.1914465796343086, 0.001, hot
7, 34, 1205.439315, 2.797780989631714, 0.001, hot
24, 27, 956.8630618, 1.0846992989236213, 0.127, NS
35, 20, 1122.367754, 1.4202942306666482, 0.077, NS
12, 15, 1050.401379, 3.9495849969002315, 0.0, hot
33, 36, 873.1736136, 1.9509216255556323, 0.018, hot
4, 19, 840.7296579, 1.9489540665067044, 0.033, hot
31, 4, 1289.620685, 1.6945975356417124, 0.045, hot
11, 8, 654.7960439, 0.11656010057816854, 0.458, NS
3, 23, 933.7687631, 2.0324049303277736, 0.016, hot
25, 7, 1051.723826, 0.3270165218007236, 0.369, NS
14, 22, 1226.785066, -0.920898341625901, 0.815, NS
1, 33, 846.6901795, 1.3379796459657727, 0.083, NS
14, 3, 913.6727064, -1.5201413146269451, 0.934, NS
8, 7, 907.6140564, 2.647380113874968, 0.005, hot
32, 12, 834.2233732, -0.4859619850201438, 0.676, NS
22, 26, 1040.069907, 1.7751769631862804, 0.033, hot
29, 22, 994.0194492, 0.23800623591245268, 0.42, NS
31, 18, 859.8888186, 1.8001083208339181, 0.045, hot
10, 5, 1003.792383, 2.582236924097927, 0.001, hot
33, 9, 1244.580007, 2.868833022908381, 0.004, hot
23, 36, 554.1437691, 1.8096045857423486, 0.029, hot
23, 5, 940.8325074, 0.7416987216809645, 0.218, NS
31, 30, 623.594171, 2.156155314943568, 0.012, hot
32, 28, 1014.433035, 2.08589242963104, 0.019, hot
4, 7, 1377.25013, 1.7840449454555687, 0.043, hot
11, 10, 1206.71276, -2.017972277689367, 0.985, cold
37, 11, 933.6241077, 1.4771448075157407, 0.067, NS
1, 36, 956.7199728, 1.439297132468704, 0.072, NS
23, 9, 1034.821065, 1.962122841344563, 0.012, hot
17, 5, 1523.835263, 0.843703529742958, 0.213, NS
7, 35, 755.9253483, 2.863597702326946, 0.001, hot
31, 12, 897.6887197, 3.1562532585851093, 0.001, hot
22, 23, 1175.989944, 1.0026143446572313, 0.181, NS
21, 16, 1120.914588, -0.18125836015957383, 0.563, NS
10, 32, 738.3093221, 2.8396067040673016, 0.002, hot
18, 3, 1357.662144, -1.7113634579206993, 0.96, cold
7, 28, 1169.55773, 1.6940170264604808, 0.046, hot
4, 16, 1279.499392, 0.5730286675840236, 0.285, NS
28, 7, 1231.484159, 3.560112171544809, 0.0, hot
18, 7, 702.8732739, 4.00869205962365, 0.0, hot
3, 19, 897.0586363, 2.1659388152768098, 0.016, hot
10, 33, 880.4192585, 1.1739833130518693, 0.131, NS
27, 24, 1343.289629, 0.9631002986120735, 0.166, NS
9, 16, 808.5077734, 2.5235219914375207, 0.005, hot
24, 13, 1067.676313, 3.70495696337235, 0.0, hot
36, 24, 815.4448194, -1.051728488242888, 0.862, NS
18, 31, 1046.096778, 3.3838330951676685, 0.0, hot
26, 28, 620.8423988, 1.5529044507927652, 0.066, NS
18, 26, 1020.930385, 1.7470087428002927, 0.041, hot
2, 10, 1169.973059, 1.2216591055947417, 0.099, NS
31, 15, 1048.033511, 2.1827187211948207, 0.014, hot
15, 26, 938.4486778, 2.628565998336862, 0.002, hot
9, 9, 1089.1411, 3.2015465034657624, 0.0, hot
21, 23, 842.7595541, 1.3972034838246157, 0.081, NS
33, 24, 1057.166211, 0.8047272240360195, 0.211, NS
11, 26, 1009.066791, 1.4450442113313273, 0.075, NS
10, 26, 1085.962378, 1.3542567392066127, 0.113, NS
2, 35, 891.7323528, 0.7955550454459643, 0.229, NS
30, 12, 1125.490892, -0.9072009490132418, 0.818, NS
31, 37, 1510.967852, 2.8748398104669, 0.001, hot
31, 3, 986.194923, 1.012898879983674, 0.144, NS
11, 16, 938.4588756, 2.6312771748301893, 0.002, hot
26, 24, 869.4771456, -0.9889241331347737, 0.842, NS
21, 24, 1015.489379, -1.9758906328470036, 0.97, cold
11, 33, 765.4437874, 2.7684339517065686, 0.003, hot
22, 18, 915.9637292, 1.5513994733120449, 0.058, NS
14, 36, 485.4013568, 2.0882451024313817, 0.019, hot
12, 28, 861.6627115, 2.248764700162558, 0.017, hot
36, 13, 1018.824446, -0.9301067080573032, 0.816, NS
1, 3, 1351.720023, -1.2883371397729317, 0.879, NS
26, 8, 1055.595516, -1.4689068359157067, 0.934, NS
24, 26, 966.0893066, 0.37497054531181745, 0.363, NS
11, 20, 1164.14677, -1.0850785966866863, 0.841, NS
16, 28, 513.9492108, 1.0308857703014889, 0.134, NS
15, 1, 1381.643256, -2.380635527879176, 0.989, cold
23, 11, 862.2694011, 1.8602338848905224, 0.038, hot
9, 29, 1344.051506, 3.5106243089132305, 0.0, hot
22, 34, 768.8547334, 1.046961534830219, 0.131, NS
24, 25, 1177.930042, 0.2421203363517829, 0.386, NS
22, 29, 1019.674465, 0.9148848182213268, 0.201, NS
30, 35, 1272.660603, 2.845439611422083, 0.001, hot
6, 11, 1077.115685, 0.36513126508621024, 0.348, NS
35, 3, 756.3992678, 0.826508653319728, 0.2, NS
19, 24, 1005.886942, 0.1834535818352117, 0.424, NS
2, 9, 932.0414292, 1.8759229918725062, 0.029, hot
8, 31, 1139.001335, 2.834143786687103, 0.002, hot
19, 35, 953.8343434, 3.289521943674227, 0.0, hot
27, 36, 975.2251688, 2.389430076924902, 0.007, hot
13, 16, 879.6912512, 0.7451972008448259, 0.223, NS
30, 31, 1131.197717, 3.3120110043373425, 0.0, hot
22, 16, 990.5587537, 1.0311696167832687, 0.141, NS
35, 12, 1034.95463, 2.92769820720663, 0.001, hot
35, 36, 1281.167101, 2.1377769555082313, 0.014, hot
16, 18, 625.1023457, 2.064937610921464, 0.022, hot
37, 35, 989.1532185, 1.282019179800312, 0.089, NS
29, 23, 994.6439981, 1.9281431928255233, 0.031, hot
5, 32, 1093.304246, 1.8396784844153493, 0.035, hot
24, 3, 866.9245221, 2.0156310708316716, 0.011, hot
24, 16, 994.1471477, 2.3567653314730284, 0.009, hot
6, 3, 1183.857333, 0.39323060435299095, 0.332, NS
9, 6, 951.1784214, 2.8085123750083802, 0.002, hot
19, 26, 1027.570904, 2.761246007130039, 0.0, hot
6, 35, 1239.646459, 1.5157253632562386, 0.066, NS
5, 2, 635.8699847, 2.351347893490704, 0.007, hot
16, 19, 812.3597773, 0.7790691704497171, 0.217, NS
2, 21, 923.5950864, 1.072510982253397, 0.133, NS
27, 19, 1069.50332, 2.585557087270193, 0.007, hot
3, 16, 1397.944097, 0.5647046959020023, 0.281, NS
19, 12, 796.586549, 1.2615898380822972, 0.083, NS
6, 33, 890.9385065, 3.121098643626575, 0.001, hot
17, 33, 1237.986098, 0.9556234413666587, 0.173, NS
6, 24, 1207.008183, -0.8081937768273626, 0.794, NS
6, 10, 1151.611507, -0.9565566541761258, 0.837, NS
21, 14, 934.6798543, -2.34942698972083, 0.992, cold
37, 37, 1183.825412, 1.2521839638568932, 0.097, NS
22, 5, 1166.696923, 0.8521335861550966, 0.193, NS
35, 25, 1443.444817, 1.6934798226862704, 0.043, hot
6, 31, 1011.233111, 2.1898300366529653, 0.025, hot
11, 29, 974.8036977, 0.5426501055923931, 0.287, NS
5, 23, 1044.53925, 2.049006320349808, 0.015, hot
12, 3, 715.8765495, 1.5774775611632261, 0.059, NS
23, 12, 693.8312108, 1.9470033888646314, 0.019, hot
27, 1, 971.8689461, 0.27840824789313634, 0.416, NS
7, 12, 973.3221456, -0.23807044561467863, 0.621, NS
32, 27, 1102.07291, 0.18398034262579044, 0.413, NS
7, 33, 1198.327285, 2.2726514795784407, 0.015, hot
24, 23, 824.7104772, 1.7532016705195566, 0.035, hot
2, 1, 757.0556164, 2.1000377453849906, 0.015, hot
37, 1, 888.7825895, 1.5907251546751946, 0.051, NS
37, 29, 966.6195793, 1.2310425159911131, 0.113, NS
28, 12, 848.5609973, 0.7549034230370854, 0.25, NS
11, 37, 670.2099077, -0.8425408546367439, 0.78, NS
5, 6, 1332.904753, 1.517215453687481, 0.075, NS
10, 6, 656.0338565, -2.8985395713248, 0.999, cold
27, 20, 903.9946867, 0.8499484345820881, 0.19, NS
25, 11, 977.4594535, 0.7088027061474812, 0.243, NS
29, 16, 1259.995778, 1.1029021968699129, 0.133, NS
25, 34, 1041.728608, 0.6380757180886889, 0.251, NS
15, 2, 1091.532207, -0.31205322731539037, 0.619, NS
23, 15, 1033.788649, 2.0825706343138286, 0.019, hot
24, 34, 911.2435303, 1.6486421456828197, 0.055, NS
19, 22, 835.8743667, 0.7751513154114701, 0.2, NS
9, 31, 464.1427074, 3.4030172287227933, 0.0, hot
12, 12, 1112.615732, 2.4633111539126697, 0.006, hot
26, 2, 869.7203286, -0.8737911361294074, 0.806, NS
22, 33, 965.5057759, 1.0341487746946323, 0.166, NS
36, 7, 750.8568431, 3.0996003076186325, 0.001, hot
16, 14, 942.6201342, 1.213672159522683, 0.117, NS
35, 27, 735.4349999, 2.7681895617054635, 0.002, hot
24, 30, 959.8404738, 1.4469522556282053, 0.065, NS
36, 34, 1101.170388, 1.9420076749214796, 0.034, hot
12, 34, 1031.844229, 1.7252678178855227, 0.043, hot
35, 26, 888.9927609, 1.2066250442504947, 0.129, NS
30, 6, 902.7511958, -2.850537966014807, 0.996, cold
24, 1, 1004.933847, 2.4087264360544363, 0.008, hot
27, 14, 995.7063635, 0.9003585527998011, 0.193, NS
16, 29, 1048.633289, 1.1826102269483407, 0.119, NS
35, 19, 678.5276121, 1.2701227738818834, 0.111, NS
34, 36, 997.8893692, 1.8504062907334538, 0.037, hot
37, 6, 1302.280594, 1.450838460655744, 0.069, NS
23, 17, 917.0637854, 1.8962563234484198, 0.03, hot
7, 26, 1074.133667, 1.6649633587880996, 0.056, NS
6, 18, 1568.861839, -1.4428345363060957, 0.939, NS
31, 2, 995.0834107, 1.456552311505998, 0.077, NS
4, 25, 990.7654773, 1.4386539486303218, 0.053, NS
18, 6, 1013.439299, -1.4780216690193995, 0.949, NS
15, 27, 1017.462077, 2.006038011485612, 0.027, hot
13, 27, 812.9089576, -1.699418490937306, 0.959, cold
17, 12, 666.4617794, -0.32545438907514274, 0.653, NS
1, 35, 944.3142311, 2.4677532348669833, 0.006, hot
25, 29, 1125.68421, 1.5317893192313008, 0.062, NS
24, 18, 1313.375035, 1.9531949418739996, 0.032, hot
23, 27, 781.6742121, 0.9490564852057896, 0.172, NS
20, 7, 1028.211505, 2.9300873014577626, 0.003, hot
23, 21, 1072.18469, 1.089708456561358, 0.137, NS
21, 27, 1005.730212, 1.3305898376995815, 0.115, NS
13, 25, 759.9522248, 1.462943620010721, 0.083, NS
17, 4, 960.9337968, 1.393564934453839, 0.079, NS
11, 19, 758.8149992, 2.882566957702922, 0.002, hot
9, 5, 1193.357266, 2.7938491762459567, 0.002, hot
9, 14, 1262.732755, 2.2429341158514027, 0.007, hot
14, 35, 1353.643087, 3.020095508019895, 0.001, hot
24, 9, 1077.226365, 2.4170257666492305, 0.005, hot
7, 25, 898.28693, 1.1967825587392615, 0.116, NS
4, 11, 801.9361315, -1.1462329448011446, 0.876, NS
14, 23, 1246.250101, 2.507097387003396, 0.005, hot
28, 25, 975.6796961, 0.7836136502109987, 0.228, NS
29, 3, 760.8900943, -1.2305900354606865, 0.874, NS
25, 22, 1073.484813, 2.3048920063175755, 0.01, hot
6, 1, 1136.969045, -1.1048558741569428, 0.857, NS
15, 32, 582.763194, 2.7105765823198174, 0.0, hot
31, 11, 1091.099043, 3.0983865879184607, 0.0, hot
2, 25, 873.3702286, -0.02277190087885375, 0.482, NS
24, 12, 1476.637257, 2.322333401011942, 0.005, hot
19, 25, 1300.447529, 2.7573316968199983, 0.0, hot
37, 34, 920.1408242, 2.1670918743522147, 0.018, hot
16, 7, 1006.407237, 1.425683227349053, 0.082, NS
11, 32, 1029.390016, 3.005217094456153, 0.003, hot
21, 34, 1167.20101, 1.5112076426825818, 0.077, NS
34, 33, 996.43075, 0.9960014140805971, 0.16, NS
15, 8, 657.155915, 0.24571171444922166, 0.402, NS
18, 22, 972.2265315, -0.43301462449599065, 0.669, NS
24, 22, 655.8536103, 1.9209911606308159, 0.026, hot
1, 4, 1195.402226, 0.8080399471934512, 0.213, NS
36, 33, 1052.457545, 0.744519353037428, 0.218, NS
30, 25, 963.4892609, 0.8998351732640718, 0.19, NS
23, 19, 851.723944, 2.73486481225553, 0.003, hot
19, 13, 856.3271438, 0.4912709579338806, 0.303, NS
37, 13, 976.4256847, 1.2325705709012817, 0.102, NS
5, 29, 914.1590822, 1.0570861366183946, 0.154, NS
29, 32, 1035.377495, 3.1710576532395542, 0.001, hot
5, 3, 893.846397, 0.906171264499891, 0.184, NS
8, 19, 995.3232639, 2.347314884727269, 0.008, hot
33, 28, 981.6440246, 2.3025803613989946, 0.007, hot
26, 20, 1089.961494, -1.1262021054124474, 0.871, NS
19, 36, 681.0598579, 3.479826756053192, 0.0, hot
19, 5, 692.142248, 2.687394849136171, 0.002, hot
19, 14, 936.5660301, -0.05546019477046649, 0.543, NS
9, 28, 1014.997269, 3.009597837357148, 0.0, hot
29, 11, 1199.432555, 0.1719378448906255, 0.434, NS
8, 23, 1042.084552, 1.9530661059357284, 0.024, hot
37, 36, 688.763089, 1.0268160698105295, 0.123, NS
25, 30, 1072.909544, 2.2409234064600088, 0.01, hot
11, 13, 1176.6213, 0.294483516367024, 0.363, NS
33, 30, 1013.220009, 1.6625244510895827, 0.041, hot
10, 34, 1067.819795, 3.472719543840572, 0.0, hot
21, 33, 660.6336724, 0.7550960153584595, 0.25, NS
13, 31, 882.7388409, 3.8122649457901403, 0.0, hot
32, 25, 797.1370037, 2.1078826337624252, 0.02, hot
9, 27, 1149.903432, 3.0275329561990554, 0.004, hot
37, 33, 749.621861, 0.8347801596472281, 0.203, NS
36, 16, 1086.701306, 0.8718621490281752, 0.182, NS
29, 12, 1068.263626, 0.7809463673720073, 0.221, NS
5, 9, 1139.829778, 2.0129010748723117, 0.02, hot
35, 23, 863.6737025, -0.25526984224282695, 0.605, NS
36, 2, 1042.535617, -0.5445774980161927, 0.702, NS
12, 31, 858.823595, 2.674104652747061, 0.002, hot
5, 28, 755.7149065, 1.7624668059223465, 0.038, hot
11, 11, 884.7839425, 2.164709062756743, 0.02, hot
14, 31, 1252.785132, 3.317852317952199, 0.002, hot
16, 10, 845.0695451, 1.342329495879946, 0.09, NS
32, 7, 1202.300616, 3.7344143571976343, 0.0, hot
7, 23, 1272.997686, 2.3586033265731983, 0.009, hot
14, 19, 832.6538671, 1.903543278649974, 0.025, hot
19, 33, 1163.946907, 1.9160433211237935, 0.024, hot
12, 26, 998.8726221, 2.1022714742348056, 0.011, hot
21, 2, 697.9267437, -1.7892501939890433, 0.966, cold
36, 1, 897.715202, -1.7904122039640202, 0.955, cold
26, 37, 1357.431284, -2.909885244204644, 0.998, cold
9, 35, 750.3832995, 2.199607481717994, 0.014, hot
