O, D, V, GearyC, p-value, pattern
24, 32, 991.1226343, 2463956.257393676, 0.993, similar
1, 23, 1285.805614, 1827851.8722077692, 0.605, NS
24, 33, 1210.962032, 2963432.7620380716, 0.687, NS
12, 23, 607.1284846, 3658811.9625296555, 0.417, NS
30, 7, 1260.108391, 4197720.158580594, 0.683, NS
23, 4, 1270.556704, 4111507.7069827323, 0.302, NS
22, 27, 764.719202, 3975958.2864420996, 0.466, NS
11, 30, 839.162702, 2414968.7904141173, 0.663, NS
1, 16, 1141.644043, 4182413.860311205, 0.436, NS
37, 3, 969.1001141, 1002419.8500019422, 0.955, similar
18, 19, 1099.526336, 2476899.560443289, 0.865, NS
9, 18, 878.7184522, 2808641.6319253063, 0.987, similar
27, 16, 998.1510111, 2236921.922509956, 1.0, similar
27, 11, 868.3094824, 2740402.3744743443, 0.987, similar
3, 22, 1182.272765, 6156197.877693783, 0.3, NS
33, 34, 1206.332136, 2624771.6233998127, 0.517, NS
15, 14, 1109.003274, 6676178.820878835, 0.378, NS
17, 36, 1275.547529, 4517029.209488525, 0.348, NS
19, 37, 924.7047794, 3933656.5482955617, 0.755, NS
27, 34, 864.249672, 1540054.271350372, 1.0, similar
3, 34, 866.5782409, 2009336.2849385065, 0.721, NS
37, 28, 1026.670054, 1245753.0365972763, 0.991, similar
6, 22, 1277.028344, 6462529.807965264, 0.428, NS
21, 17, 812.2508587, 1997971.1409909022, 0.964, similar
33, 21, 851.4322129, 1071234.3727673383, 0.992, similar
2, 22, 990.8835368, 1028731.1894621316, 0.998, similar
31, 6, 876.2333159, 1068296.099217787, 0.993, similar
20, 12, 631.7188049, 4846058.4953396395, 0.409, NS
25, 23, 1144.582971, 881698.4020626332, 0.977, similar
29, 4, 656.1866149, 3471244.003628065, 0.405, NS
31, 31, 767.0544152, 3859505.225756864, 0.48, NS
31, 23, 958.629427, 573777.8620152745, 0.998, similar
25, 24, 954.205001, 1414216.5900857013, 0.814, NS
9, 23, 928.0253031, 1058615.366730098, 0.998, similar
23, 33, 1014.397218, 988766.7019321164, 0.996, similar
27, 21, 819.9890655, 3349739.996628276, 0.577, NS
22, 17, 1009.434016, 1059706.7200231904, 1.0, similar
4, 27, 890.7741415, 2223121.1109700003, 0.728, NS
4, 5, 1030.730065, 897273.7289521351, 0.91, NS
2, 20, 1180.690771, 2314167.263422062, 0.446, NS
28, 31, 1074.395992, 1293691.8445185954, 1.0, similar
33, 19, 1042.864838, 1014735.8482146489, 0.992, similar
35, 21, 907.4500693, 701647.3817148817, 0.995, similar
36, 21, 861.9104138, 2682389.72702226, 0.762, NS
36, 22, 608.6624594, 7845469.885539261, 0.322, NS
18, 35, 646.201738, 7184133.277305547, 0.242, NS
33, 18, 775.0406533, 2844942.318839318, 0.726, NS
12, 4, 891.8300634, 1558497.6471513878, 0.995, similar
20, 5, 886.9731831, 2136507.51474931, 0.53, NS
33, 27, 1253.525828, 2670022.0444030385, 0.78, NS
35, 14, 1284.082656, 3675307.5214804593, 0.408, NS
26, 6, 835.7904523, 1532067.3061746724, 0.889, NS
25, 35, 865.6436035, 868807.2501345441, 0.997, similar
5, 24, 1576.945943, 5656956.951193565, 0.014, dissimilar
11, 25, 653.0244881, 3764729.2841102155, 0.403, NS
15, 37, 755.1942919, 5190803.455785485, 0.513, NS
3, 5, 942.2013048, 1328534.4904703307, 0.854, NS
22, 2, 788.4819547, 2341043.0693818317, 0.858, NS
26, 7, 894.6922395, 1616245.825910645, 0.994, similar
11, 35, 1248.279327, 3709972.0965919388, 0.528, NS
31, 1, 1331.716601, 5578707.846612425, 0.336, NS
15, 22, 1307.754232, 10079908.039786825, 0.252, NS
13, 34, 788.6034198, 4375092.624319384, 0.453, NS
22, 37, 910.4445742, 2113078.454149043, 0.953, similar
32, 3, 1006.361749, 3422238.795960823, 0.532, NS
20, 19, 980.4005042, 982907.0408816725, 0.997, similar
4, 23, 1070.157295, 807547.5741994643, 0.935, NS
24, 21, 1211.009918, 3452879.337569678, 0.572, NS
36, 25, 883.5292024, 1716950.2901925414, 0.905, NS
6, 32, 1208.816396, 4446869.132616411, 0.62, NS
20, 23, 843.0268603, 1219185.148761414, 0.909, NS
20, 31, 1094.565482, 1685671.4640427672, 0.993, similar
9, 32, 1018.8489, 2361032.948262542, 0.999, similar
35, 11, 1171.134799, 1818270.2089840616, 0.873, NS
1, 22, 805.3800579, 3376553.2887322437, 0.593, NS
35, 34, 1411.514397, 3641553.1988816313, 0.227, NS
31, 24, 532.0357575, 5949255.69501848, 0.044, dissimilar
10, 12, 852.7396956, 3585605.215601606, 0.83, NS
16, 6, 1333.136556, 3422315.1845078613, 0.397, NS
31, 16, 865.8002025, 1919112.1517645486, 0.967, similar
37, 7, 602.0383188, 6254332.18269704, 0.196, NS
34, 23, 665.9829251, 4768407.296661261, 0.301, NS
34, 11, 1075.417325, 4174947.5383414645, 0.691, NS
20, 4, 665.4190798, 5007958.437996128, 0.224, NS
13, 11, 985.0334521, 4549090.440366299, 0.595, NS
24, 11, 1096.31821, 2771809.4008186134, 0.972, similar
17, 11, 942.344433, 4525875.7175848745, 0.596, NS
19, 6, 1011.985107, 2143036.815109053, 0.931, NS
16, 13, 1211.567784, 2759544.7777144564, 0.747, NS
11, 12, 1365.736667, 11070745.93518675, 0.176, NS
17, 34, 1219.774678, 3117420.4457338755, 0.615, NS
25, 5, 766.1482385, 1091567.833079421, 0.919, NS
9, 3, 1255.451559, 3773704.7355813403, 0.516, NS
21, 37, 1103.096828, 6155037.553497952, 0.291, NS
17, 22, 1344.211093, 14967202.553325342, 0.032, dissimilar
31, 36, 1083.266358, 782689.565149432, 0.989, similar
5, 13, 800.4836806, 2031785.8043250784, 0.797, NS
20, 27, 1223.767211, 7138780.184280215, 0.238, NS
34, 12, 945.6470039, 2825520.984083796, 0.98, similar
17, 19, 1293.478837, 5145676.501312177, 0.361, NS
37, 24, 737.245036, 1655810.1870873522, 0.526, NS
25, 36, 1088.532591, 1221760.288830091, 0.881, NS
21, 19, 986.8174413, 856175.7834238049, 0.995, similar
18, 33, 965.1203603, 1634744.5227179113, 0.995, similar
32, 33, 1121.191855, 2255109.451432049, 0.877, NS
1, 27, 1290.157704, 8874097.389938474, 0.094, NS
6, 29, 651.6233604, 6569494.760112995, 0.359, NS
6, 17, 995.4578596, 3776383.265849101, 0.766, NS
5, 33, 659.1187833, 4007821.158305902, 0.204, NS
24, 31, 1330.913401, 8093510.24093962, 0.322, NS
35, 6, 1287.579417, 1878162.759187016, 0.61, NS
12, 6, 1035.129022, 1944700.3374691166, 0.955, similar
16, 30, 968.5380792, 967955.1284777885, 0.956, similar
27, 26, 884.4016079, 1944289.4745617525, 0.974, similar
33, 2, 984.7631025, 1062113.0533860107, 1.0, similar
16, 35, 1020.823532, 1047146.3388678845, 0.985, similar
5, 7, 1130.884169, 1813738.759343166, 0.884, NS
15, 10, 1346.52832, 16168336.356302017, 0.017, dissimilar
5, 27, 853.5218848, 1707454.403892688, 0.916, NS
25, 16, 1008.67703, 1555567.2836917045, 0.993, similar
2, 30, 1408.70291, 3638547.1912178122, 0.132, NS
2, 8, 776.1468797, 1704418.9824878948, 0.664, NS
28, 22, 895.5566925, 3756666.733362954, 0.792, NS
6, 12, 622.8337896, 8683262.86633875, 0.285, NS
12, 16, 1177.023484, 3743324.8635357153, 0.807, NS
6, 8, 753.0482085, 3009837.1011814, 0.641, NS
15, 12, 957.7454766, 3014458.9406581284, 0.947, NS
36, 9, 884.2078773, 4333221.596971172, 0.674, NS
26, 1, 746.8541152, 3478083.293338175, 0.539, NS
22, 31, 829.5404016, 1638904.1793420247, 0.995, similar
26, 19, 1125.95781, 1398842.5561080116, 0.946, NS
25, 37, 1020.063603, 1312945.9480390672, 0.999, similar
33, 35, 927.6608053, 1540513.0081555704, 0.91, NS
19, 28, 803.3038381, 3606771.6607829174, 0.827, NS
18, 4, 822.7742812, 3314390.6749973823, 0.603, NS
10, 28, 1290.628601, 8642542.70156647, 0.305, NS
10, 16, 1152.329131, 5612868.005906735, 0.478, NS
8, 28, 1420.458058, 7869248.88759752, 0.064, NS
18, 36, 721.6195212, 3561046.848298167, 0.426, NS
31, 28, 861.6771607, 2197222.989733006, 0.918, NS
36, 26, 1050.888478, 1449541.6881954903, 0.996, similar
26, 31, 1250.45034, 2577255.8976666653, 0.811, NS
35, 31, 1049.695794, 817824.6830329476, 1.0, similar
22, 32, 1021.881119, 1045670.9104478176, 1.0, similar
25, 4, 713.2715515, 2049885.1862095266, 0.681, NS
14, 5, 1271.180864, 2988157.253324326, 0.487, NS
11, 7, 975.3216754, 2227419.103755773, 0.998, similar
32, 16, 991.2509142, 2941641.192761658, 0.954, similar
33, 3, 960.4283191, 721431.1266173952, 0.999, similar
24, 10, 865.1339766, 3351762.0436167154, 0.885, NS
23, 10, 1478.875039, 9500164.979230525, 0.062, NS
10, 25, 847.9444624, 1071771.975812876, 0.999, similar
17, 28, 819.4563691, 3426444.8314344096, 0.88, NS
16, 3, 1080.773654, 1139996.4384355287, 0.993, similar
5, 1, 1116.519905, 1737236.2457928525, 0.907, NS
24, 6, 844.6288591, 1425629.2156657474, 1.0, similar
29, 7, 969.7063977, 1259009.3996234909, 0.999, similar
24, 19, 1187.197653, 2596959.5768379318, 0.801, NS
12, 1, 981.1563043, 1729856.7499582656, 1.0, similar
31, 35, 713.3379027, 2200054.3549377946, 0.634, NS
32, 11, 922.4138443, 3210037.812828301, 0.925, NS
34, 5, 1293.331817, 3371282.0137640415, 0.438, NS
12, 18, 705.1856462, 6017484.255593033, 0.449, NS
28, 6, 973.5911099, 3048721.2850091606, 0.634, NS
29, 31, 1059.074609, 749161.8112897697, 1.0, similar
24, 36, 1228.512223, 2669087.3390746987, 0.577, NS
13, 33, 590.0058947, 7144237.9321016185, 0.203, NS
1, 7, 784.3352671, 2562388.698888095, 0.819, NS
6, 19, 1184.888901, 1986317.3463794496, 0.966, similar
20, 16, 1055.659502, 2905360.9245174006, 0.722, NS
27, 15, 1146.704608, 4245781.218437896, 0.43, NS
28, 5, 1190.722606, 1094426.679749429, 0.996, similar
17, 23, 801.1295026, 2307952.642137931, 0.695, NS
24, 14, 475.6401515, 16425421.773074144, 0.013, dissimilar
2, 15, 866.1996294, 1600742.3808517738, 0.692, NS
36, 29, 1417.150822, 15990476.352388661, 0.028, dissimilar
26, 30, 1022.979391, 2499241.5117328432, 0.409, NS
14, 27, 853.7235285, 3532703.537879484, 0.851, NS
15, 33, 1046.313091, 1654237.7397197906, 0.993, similar
31, 29, 1148.151795, 1649988.4919962082, 0.994, similar
12, 32, 1411.14461, 10665830.109637408, 0.216, NS
36, 4, 970.1054005, 2122102.5281456555, 0.945, NS
24, 20, 1455.928328, 10001414.98828684, 0.046, dissimilar
12, 30, 1019.892036, 1270379.6361477436, 0.988, similar
14, 7, 951.3671979, 2280887.9989492106, 0.998, similar
5, 16, 1543.733416, 8377899.870860134, 0.04, dissimilar
22, 12, 941.5124013, 784650.9441831318, 1.0, similar
24, 37, 727.8223308, 6617666.50779266, 0.361, NS
36, 14, 1122.459488, 8031827.63311615, 0.326, NS
22, 1, 1252.572291, 3617319.4694159445, 0.503, NS
11, 23, 868.6160893, 1540298.7721192974, 0.951, similar
5, 35, 1067.824501, 898219.0920827521, 0.978, similar
17, 25, 708.0954356, 2851430.5827427544, 0.533, NS
37, 20, 1017.16258, 829097.1491552193, 0.984, similar
26, 36, 1348.335197, 2818264.6941496003, 0.379, NS
36, 30, 660.8051317, 2803838.4337307764, 0.548, NS
12, 17, 583.215246, 10854495.021873299, 0.194, NS
2, 17, 933.1130302, 1614264.5448610089, 0.961, similar
14, 34, 989.2210653, 2072429.3804820243, 0.943, NS
22, 24, 1081.164663, 831424.8277915906, 0.993, similar
13, 6, 1094.801606, 6090276.554373031, 0.301, NS
37, 16, 865.3348625, 1087550.38597018, 0.999, similar
31, 27, 1059.899169, 1087950.415132392, 1.0, similar
33, 26, 1129.724951, 1231541.320420553, 0.971, similar
26, 23, 907.9032659, 879309.9833217176, 0.982, similar
16, 1, 621.446844, 5527805.754398931, 0.325, NS
16, 26, 776.488547, 2206357.5137675484, 0.619, NS
21, 15, 683.5251254, 2425051.9302349086, 0.538, NS
6, 36, 838.960244, 1913876.73337601, 0.843, NS
11, 2, 785.4196938, 4337340.639375888, 0.639, NS
25, 25, 1243.727076, 2406392.799007635, 0.461, NS
6, 9, 1012.930139, 4300443.435598941, 0.657, NS
5, 12, 1136.553174, 1883953.5903295404, 0.873, NS
19, 15, 950.6736185, 2318945.8933644164, 0.881, NS
2, 12, 747.7370135, 3052159.8999972846, 0.506, NS
24, 24, 1100.17415, 1420882.1705375717, 0.977, similar
18, 5, 741.444239, 4339613.526920317, 0.352, NS
29, 5, 1054.2117, 489148.3214497539, 1.0, similar
27, 6, 888.4096741, 1965889.794430947, 0.966, similar
10, 7, 1108.570962, 1674680.3550226775, 1.0, similar
7, 34, 1205.439315, 1810617.194554133, 0.975, similar
24, 27, 956.8630618, 1443969.1309942235, 1.0, similar
35, 20, 1122.367754, 988519.2022029868, 0.961, similar
12, 15, 1050.401379, 1132903.90767326, 1.0, similar
33, 36, 873.1736136, 1300030.311763937, 0.867, NS
4, 19, 840.7296579, 1632965.0581412863, 0.713, NS
31, 4, 1289.620685, 2860182.395740978, 0.484, NS
11, 8, 654.7960439, 5519302.512371556, 0.316, NS
3, 23, 933.7687631, 1035255.1794464376, 0.945, NS
25, 7, 1051.723826, 1495414.5553297563, 0.996, similar
14, 22, 1226.785066, 9972841.877753144, 0.236, NS
1, 33, 846.6901795, 1622379.525578049, 0.883, NS
14, 3, 913.6727064, 3660322.023130615, 0.509, NS
8, 7, 907.6140564, 1214843.6152706486, 0.988, similar
32, 12, 834.2233732, 3094983.8452813113, 0.946, NS
22, 26, 1040.069907, 928693.3785495039, 0.995, similar
29, 22, 994.0194492, 2944362.638408016, 0.681, NS
31, 18, 859.8888186, 2200340.8033583425, 0.921, NS
10, 5, 1003.792383, 886867.6206787917, 0.999, similar
33, 9, 1244.580007, 3122788.7388011445, 0.632, NS
23, 36, 554.1437691, 4729565.570059637, 0.15, NS
23, 5, 940.8325074, 986075.0672790022, 0.958, similar
31, 30, 623.594171, 4382347.115973695, 0.172, NS
32, 28, 1014.433035, 2317455.0795099144, 0.999, similar
4, 7, 1377.25013, 5128282.812267864, 0.282, NS
11, 10, 1206.71276, 11003213.026770908, 0.159, NS
37, 11, 933.6241077, 909322.779007542, 1.0, similar
1, 36, 956.7199728, 1153513.5350640384, 0.92, NS
23, 9, 1034.821065, 1373413.2416704635, 1.0, similar
17, 5, 1523.835263, 10055922.95157181, 0.016, dissimilar
7, 35, 755.9253483, 3587741.410588554, 0.544, NS
31, 12, 897.6887197, 2699978.3279907503, 0.776, NS
22, 23, 1175.989944, 1667669.924245524, 0.674, NS
21, 16, 1120.914588, 3219066.6680828906, 0.615, NS
10, 32, 738.3093221, 5872428.003421642, 0.485, NS
18, 3, 1357.662144, 12613732.847928058, 0.017, dissimilar
7, 28, 1169.55773, 4137600.072247637, 0.681, NS
4, 16, 1279.499392, 5241004.610606135, 0.279, NS
28, 7, 1231.484159, 2778564.6550560086, 0.979, similar
18, 7, 702.8732739, 8104700.7773395395, 0.353, NS
3, 19, 897.0586363, 1476245.886045973, 0.926, NS
10, 33, 880.4192585, 1753311.2623117517, 0.985, similar
27, 24, 1343.289629, 6223977.553703371, 0.19, NS
9, 16, 808.5077734, 3848925.3212349275, 0.755, NS
24, 13, 1067.676313, 2201845.23972246, 1.0, similar
36, 24, 815.4448194, 2181002.8526752326, 0.719, NS
18, 31, 1046.096778, 1722168.05973284, 1.0, similar
26, 28, 620.8423988, 5792184.091753694, 0.33, NS
18, 26, 1020.930385, 1571240.6682821056, 0.996, similar
2, 10, 1169.973059, 2603754.955465232, 0.6, NS
31, 15, 1048.033511, 1859690.7130714974, 0.757, NS
15, 26, 938.4486778, 1276471.670592876, 0.999, similar
9, 9, 1089.1411, 2519578.6100022895, 0.992, similar
21, 23, 842.7595541, 1378279.178523369, 0.831, NS
33, 24, 1057.166211, 820477.3876786227, 0.987, similar
11, 26, 1009.066791, 1026439.0557711518, 1.0, similar
10, 26, 1085.962378, 1211355.526267144, 0.999, similar
2, 35, 891.7323528, 796585.6983950087, 0.988, similar
30, 12, 1125.490892, 6939764.436272507, 0.388, NS
31, 37, 1510.967852, 9366824.041334994, 0.062, NS
31, 3, 986.194923, 749955.84664749, 0.999, similar
11, 16, 938.4588756, 2555081.2234464735, 0.996, similar
26, 24, 869.4771456, 2558858.993160986, 0.424, NS
21, 24, 1015.489379, 2763043.2414238052, 0.373, NS
11, 33, 765.4437874, 3535213.2145148455, 0.545, NS
22, 18, 915.9637292, 1091377.413360814, 1.0, similar
14, 36, 485.4013568, 9071081.17330867, 0.035, dissimilar
12, 28, 861.6627115, 2570089.5804766356, 0.986, similar
36, 13, 1018.824446, 3659922.1214667186, 0.821, NS
1, 3, 1351.720023, 8668857.907444395, 0.013, dissimilar
26, 8, 1055.595516, 3067812.437384517, 0.439, NS
24, 26, 966.0893066, 1415920.552835959, 1.0, similar
11, 20, 1164.14677, 6164964.821094753, 0.294, NS
16, 28, 513.9492108, 7482350.0852689855, 0.19, NS
15, 1, 1381.643256, 18041710.402616214, 0.016, dissimilar
23, 11, 862.2694011, 1801726.630052524, 0.98, similar
9, 29, 1344.051506, 6699892.051615896, 0.415, NS
22, 34, 768.8547334, 1768418.9270798073, 0.814, NS
24, 25, 1177.930042, 2603198.1858866923, 0.604, NS
22, 29, 1019.674465, 1611389.818775348, 0.994, similar
30, 35, 1272.660603, 2953432.523032589, 0.706, NS
6, 11, 1077.115685, 3520713.7730213925, 0.852, NS
35, 3, 756.3992678, 1218518.8896078535, 0.892, NS
19, 24, 1005.886942, 1774768.0209765772, 0.893, NS
2, 9, 932.0414292, 1104386.4493991248, 0.998, similar
8, 31, 1139.001335, 1037114.891063315, 0.997, similar
19, 35, 953.8343434, 1543641.6807824082, 0.995, similar
27, 36, 975.2251688, 1290244.650375159, 0.981, similar
13, 16, 879.6912512, 3850847.9318750603, 0.744, NS
30, 31, 1131.197717, 2293132.322075796, 0.999, similar
22, 16, 990.5587537, 1210959.6391420478, 1.0, similar
35, 12, 1034.95463, 1034161.544586401, 1.0, similar
35, 36, 1281.167101, 1245268.10016933, 0.722, NS
16, 18, 625.1023457, 5698932.056898619, 0.317, NS
37, 35, 989.1532185, 662902.0266536981, 0.997, similar
29, 23, 994.6439981, 475553.7967771612, 0.999, similar
5, 32, 1093.304246, 1875802.1247091964, 0.885, NS
24, 3, 866.9245221, 2133112.8672099244, 0.943, NS
24, 16, 994.1471477, 1920404.79996971, 1.0, similar
6, 3, 1183.857333, 4309856.844172979, 0.427, NS
9, 6, 951.1784214, 1656381.0065401786, 0.992, similar
19, 26, 1027.570904, 1134390.34542566, 1.0, similar
6, 35, 1239.646459, 3506610.8332711826, 0.568, NS
5, 2, 635.8699847, 5376375.244658291, 0.264, NS
16, 19, 812.3597773, 1464537.8344828133, 0.932, NS
2, 21, 923.5950864, 1085748.10888127, 0.924, NS
27, 19, 1069.50332, 1273776.0922600247, 1.0, similar
3, 16, 1397.944097, 9877395.899511404, 0.054, NS
19, 12, 796.586549, 3176196.2749733757, 0.922, NS
6, 33, 890.9385065, 2603908.0359045374, 0.797, NS
17, 33, 1237.986098, 4498964.855307555, 0.401, NS
6, 24, 1207.008183, 5827750.936101051, 0.214, NS
6, 10, 1151.611507, 7670362.179854074, 0.353, NS
21, 14, 934.6798543, 4040721.5545776533, 0.484, NS
37, 37, 1183.825412, 2648386.586165425, 0.585, NS
22, 5, 1166.696923, 1680648.0560761178, 0.663, NS
35, 25, 1443.444817, 3188365.2133847536, 0.203, NS
6, 31, 1011.233111, 1707593.8525269371, 1.0, similar
11, 29, 974.8036977, 3470052.6518779593, 0.867, NS
5, 23, 1044.53925, 559594.6861481853, 0.989, similar
12, 3, 715.8765495, 3124001.472691502, 0.646, NS
23, 12, 693.8312108, 4186076.419960746, 0.466, NS
27, 1, 971.8689461, 3633967.939626358, 0.809, NS
7, 12, 973.3221456, 2930426.270949884, 0.963, similar
32, 27, 1102.07291, 5412332.105191303, 0.5, NS
7, 33, 1198.327285, 2162687.277686404, 0.921, NS
24, 23, 824.7104772, 1808757.3496605929, 0.89, NS
2, 1, 757.0556164, 3437164.2456793454, 0.44, NS
37, 1, 888.7825895, 1107001.8045755837, 0.997, similar
37, 29, 966.6195793, 764950.9288242928, 1.0, similar
28, 12, 848.5609973, 4053970.166516004, 0.703, NS
11, 37, 670.2099077, 6519570.394818268, 0.411, NS
5, 6, 1332.904753, 2922412.2512144265, 0.348, NS
10, 6, 656.0338565, 2764296.695728728, 0.738, NS
27, 20, 903.9946867, 2967471.2049499596, 0.661, NS
25, 11, 977.4594535, 1161833.015111113, 0.999, similar
29, 16, 1259.995778, 5133769.774235556, 0.388, NS
25, 34, 1041.728608, 828643.5212680522, 0.999, similar
15, 2, 1091.532207, 5142407.56832075, 0.535, NS
23, 15, 1033.788649, 1509949.5378008033, 0.906, NS
24, 34, 911.2435303, 1694077.9442140365, 0.99, similar
19, 22, 835.8743667, 2980986.7319249013, 0.964, similar
9, 31, 464.1427074, 17872400.18590438, 0.017, dissimilar
12, 12, 1112.615732, 3081943.7236101157, 0.943, NS
26, 2, 869.7203286, 3178248.559702579, 0.605, NS
22, 33, 965.5057759, 1061939.9128719317, 0.993, similar
36, 7, 750.8568431, 5861634.977839481, 0.449, NS
16, 14, 942.6201342, 1497639.390350386, 0.997, similar
35, 27, 735.4349999, 3861743.7952361763, 0.381, NS
24, 30, 959.8404738, 1633468.7551717353, 0.937, NS
36, 34, 1101.170388, 1933867.7479918108, 0.98, similar
12, 34, 1031.844229, 1777166.52877753, 0.984, similar
35, 26, 888.9927609, 1010223.7724293998, 0.955, similar
30, 6, 902.7511958, 3011514.957175583, 0.67, NS
24, 1, 1004.933847, 2391457.6210119403, 0.995, similar
27, 14, 995.7063635, 4127197.556192131, 0.702, NS
16, 29, 1048.633289, 1770108.4897219827, 0.986, similar
35, 19, 678.5276121, 2320410.7121894546, 0.463, NS
34, 36, 997.8893692, 1639837.6988262536, 0.936, NS
37, 6, 1302.280594, 2321014.1883363235, 0.461, NS
23, 17, 917.0637854, 1716569.8735541208, 0.991, similar
7, 26, 1074.133667, 1251445.230076929, 1.0, similar
6, 18, 1568.861839, 28648633.438972518, 0.0, dissimilar
31, 2, 995.0834107, 1111370.3494391465, 1.0, similar
4, 25, 990.7654773, 540771.9729596062, 0.99, similar
18, 6, 1013.439299, 3474950.44438991, 0.553, NS
15, 27, 1017.462077, 2968407.475434758, 0.967, similar
13, 27, 812.9089576, 3642978.137000368, 0.825, NS
17, 12, 666.4617794, 6462355.648055392, 0.424, NS
1, 35, 944.3142311, 1148479.330668936, 0.99, similar
25, 29, 1125.68421, 1910968.1353642999, 0.965, similar
24, 18, 1313.375035, 7700003.50460828, 0.331, NS
23, 27, 781.6742121, 1933503.8869279926, 0.969, similar
20, 7, 1028.211505, 2166263.549637032, 0.929, NS
23, 21, 1072.18469, 1561054.7595871626, 0.89, NS
21, 27, 1005.730212, 2173559.824043593, 0.928, NS
13, 25, 759.9522248, 2280845.9600107926, 0.706, NS
17, 4, 960.9337968, 2125049.794295133, 0.937, NS
11, 19, 758.8149992, 3684027.0424409285, 0.527, NS
9, 5, 1193.357266, 1344802.8300695624, 0.985, similar
9, 14, 1262.732755, 6041014.29484961, 0.426, NS
14, 35, 1353.643087, 4671756.991146191, 0.407, NS
24, 9, 1077.226365, 2271448.6453854316, 0.999, similar
7, 25, 898.28693, 1100700.2894446729, 0.998, similar
4, 11, 801.9361315, 2338291.9287167676, 0.669, NS
14, 23, 1246.250101, 2214899.4063061783, 0.737, NS
28, 25, 975.6796961, 877694.4371575592, 1.0, similar
29, 3, 760.8900943, 2067138.7083849874, 0.693, NS
25, 22, 1073.484813, 1654242.5047546409, 0.994, similar
6, 1, 1136.969045, 7803228.209244513, 0.339, NS
15, 32, 582.763194, 10852639.639130546, 0.186, NS
31, 11, 1091.099043, 2196166.404522851, 0.913, NS
2, 25, 873.3702286, 523708.6645700249, 0.991, similar
24, 12, 1476.637257, 12891252.486126356, 0.059, NS
19, 25, 1300.447529, 2358882.571246784, 0.673, NS
37, 34, 920.1408242, 1061802.646279777, 0.946, NS
16, 7, 1006.407237, 1664231.7236868825, 0.988, similar
11, 32, 1029.390016, 2286609.0889645126, 0.998, similar
21, 34, 1167.20101, 1774059.66524418, 0.851, NS
34, 33, 996.43075, 1738427.2657661613, 0.986, similar
15, 8, 657.155915, 5632729.782037588, 0.303, NS
18, 22, 972.2265315, 4247060.910929644, 0.672, NS
24, 22, 655.8536103, 6702173.034973028, 0.397, NS
1, 4, 1195.402226, 2375090.7378314426, 0.567, NS
36, 33, 1052.457545, 1829171.2453980155, 0.978, similar
30, 25, 963.4892609, 792444.307167685, 1.0, similar
23, 19, 851.723944, 1738825.4249467528, 0.836, NS
19, 13, 856.3271438, 2636739.8941924893, 0.987, similar
37, 13, 976.4256847, 700288.9205988424, 0.999, similar
5, 29, 914.1590822, 1235423.9261472353, 0.988, similar
29, 32, 1035.377495, 1386661.7447672938, 0.999, similar
5, 3, 893.846397, 879440.5977583587, 0.982, similar
8, 19, 995.3232639, 776154.3461643822, 0.982, similar
33, 28, 981.6440246, 1179533.3999531716, 0.997, similar
26, 20, 1089.961494, 4461768.632964291, 0.296, NS
19, 36, 681.0598579, 5199412.60321549, 0.278, NS
19, 5, 692.142248, 4352377.863207444, 0.337, NS
19, 14, 936.5660301, 3313349.969734938, 0.88, NS
9, 28, 1014.997269, 1555218.5918043663, 1.0, similar
29, 11, 1199.432555, 5371191.23811896, 0.355, NS
8, 23, 1042.084552, 452757.70134466456, 0.996, similar
37, 36, 688.763089, 1854971.2401090509, 0.44, NS
25, 30, 1072.909544, 776323.5054386457, 0.995, similar
11, 13, 1176.6213, 7052283.504492211, 0.323, NS
33, 30, 1013.220009, 1168855.8143803612, 0.899, NS
10, 34, 1067.819795, 1400849.5997103634, 0.999, similar
21, 33, 660.6336724, 2784015.2205923237, 0.507, NS
13, 31, 882.7388409, 3276541.2901707217, 0.901, NS
32, 25, 797.1370037, 2173817.3956242367, 0.746, NS
9, 27, 1149.903432, 2533518.5070096566, 0.995, similar
37, 33, 749.621861, 1549998.045124138, 0.754, NS
36, 16, 1086.701306, 3264116.090261946, 0.929, NS
29, 12, 1068.263626, 3355796.7035217728, 0.587, NS
5, 9, 1139.829778, 1577562.6936817926, 0.947, NS
35, 23, 863.6737025, 354904.16049841535, 0.998, similar
36, 2, 1042.535617, 4876966.7826377675, 0.601, NS
12, 31, 858.823595, 3419026.889565425, 0.882, NS
5, 28, 755.7149065, 2568570.727802612, 0.619, NS
11, 11, 884.7839425, 3769956.1480137836, 0.778, NS
14, 31, 1252.785132, 4049071.709030319, 0.713, NS
16, 10, 845.0695451, 2277265.8801354007, 0.891, NS
32, 7, 1202.300616, 2321444.9126222096, 0.998, similar
7, 23, 1272.997686, 2240956.2745035742, 0.709, NS
14, 19, 832.6538671, 2401250.806955709, 0.859, NS
19, 33, 1163.946907, 2451612.244292525, 0.864, NS
12, 26, 998.8726221, 1192706.4606041696, 0.998, similar
21, 2, 697.9267437, 3498707.2886928287, 0.562, NS
36, 1, 897.715202, 3286120.6449492327, 0.913, NS
26, 37, 1357.431284, 13881683.930240337, 0.01, dissimilar
9, 35, 750.3832995, 3887324.450969133, 0.493, NS
34, 25, 1185.10638, 1612417.4086151323, 0.935, NS
31, 20, 961.6003168, 1366876.1101320982, 0.949, NS
21, 3, 674.1320623, 2763225.905472297, 0.491, NS
2, 31, 930.0056773, 1141460.6760530144, 0.994, similar
