Global BiFI value is: 621130650.0337
O, D, V1, V2, BI, p-value, BI_Result
(32, 22), 932.8545814, 508.4131217, 467464.9125, 0.440, NS
(5, 14), 1261.495109, 409.297129, 620464.6452, 0.690, NS
(21, 25), 1040.665952, 456.4418039, 492542.7430, 0.930, NS
(12, 21), 1153.511126, 457.8241626, 576830.9450, 0.410, NS
(37, 27), 1152.185937, 476.4274399, 564695.6207, 0.800, NS
(8, 4), 796.0553281, 481.9208711, 395678.4142, 0.610, NS
(33, 17), 992.4051319, 607.3941017, 458724.6339, 0.990, NS
(29, 25), 749.6140073, 435.3478874, 377452.1477, 0.380, NS
(26, 33), 792.5458215, 537.0795127, 410393.1924, 0.140, NS
(16, 16), 1004.933735, 290.7708885, 481492.6188, 0.920, NS
(31, 34), 1159.101988, 606.6552936, 539420.9748, 0.980, NS
(30, 19), 825.4739723, 451.932243, 412941.4101, 0.420, NS
(9, 19), 972.5387347, 537.1327869, 455156.5871, 1.000, NS
(5, 25), 1133.356619, 755.4892336, 600366.8961, 0.150, NS
(26, 5), 1128.246533, 431.9511438, 563343.6209, 0.520, NS
(17, 7), 1060.250842, 590.6537764, 547511.5840, 0.070, NS
(9, 26), 936.0004269, 661.485402, 467995.2738, 0.430, NS
(31, 33), 1195.368113, 628.2922086, 553872.0950, 0.980, NS
(10, 31), 1024.286403, 560.6359286, 525632.8330, 0.210, NS
(36, 18), 1305.479931, 450.1631312, 636899.6712, 0.830, NS
(8, 5), 960.9368103, 432.8669555, 474183.6819, 0.640, NS
(24, 5), 755.7016729, 495.0051424, 385539.2068, 0.200, NS
(34, 35), 1085.459377, 529.0110633, 557376.9065, 0.150, NS
(25, 31), 825.0555747, 523.6052118, 428952.6151, 0.040, LL
(31, 10), 876.2311175, 582.1689109, 441294.8557, 0.340, NS
(5, 22), 1003.01531, 509.3944784, 525557.9798, 0.070, NS
(23, 23), 845.1598566, 553.0577728, 431445.6543, 0.240, NS
(12, 10), 870.1620213, 594.0920901, 435270.9284, 0.480, NS
(33, 1), 1011.748351, 547.5442477, 495581.7546, 0.780, NS
(20, 3), 983.8466531, 601.399721, 500777.0226, 0.290, NS
(2, 23), 1250.40571, 441.2654078, 625120.1437, 0.490, NS
(9, 34), 732.0771565, 559.1991405, 365006.7810, 0.530, NS
(25, 28), 765.941417, 383.1660739, 391008.9374, 0.260, NS
(25, 17), 1147.234649, 529.0193317, 571432.4733, 0.510, NS
(21, 5), 1297.702802, 361.5658169, 682810.4508, 0.110, NS
(15, 13), 979.4889908, 596.6279833, 481194.3480, 0.730, NS
(31, 17), 964.5276955, 424.2784746, 482229.7696, 0.500, NS
(21, 18), 1422.061465, 525.7203964, 708656.5473, 0.490, NS
(33, 8), 860.1308593, 480.0475948, 436548.5122, 0.310, NS
(3, 6), 1179.878649, 483.319155, 588603.9358, 0.540, NS
(25, 19), 811.1030303, 538.3144351, 430805.8735, 0.060, NS
(32, 5), 840.6053529, 688.8302052, 446487.9113, 0.040, LL
(27, 13), 1120.477222, 528.7513078, 565659.9932, 0.300, NS
(35, 10), 1296.093818, 583.2935531, 672783.6204, 0.100, NS
(35, 16), 1256.216556, 438.2079127, 565124.7510, 0.990, NS
(2, 27), 956.2329269, 568.1869274, 453692.0061, 0.940, NS
(27, 4), 592.460227, 400.0688558, 300411.5857, 0.280, NS
(12, 25), 1086.92166, 522.9570289, 539988.8936, 0.630, NS
(32, 32), 1037.307773, 475.3312316, 509092.8945, 0.800, NS
(35, 5), 1365.921756, 777.3042975, 650907.3968, 0.870, NS
(2, 16), 1316.026406, 485.672587, 669572.5436, 0.370, NS
(29, 27), 861.8442603, 570.6703246, 432961.6241, 0.390, NS
(7, 22), 1066.577683, 480.1114046, 536168.0609, 0.420, NS
(4, 12), 1007.853021, 627.1595547, 517469.3383, 0.220, NS
(26, 10), 1183.698603, 584.3721912, 553760.7767, 0.980, NS
(22, 10), 308.0151238, 579.6980351, 156334.9941, 0.310, NS
(18, 23), 1043.609912, 565.9769222, 516515.5486, 0.620, NS
(2, 26), 850.7825993, 401.7363116, 410386.9066, 0.800, NS
(26, 18), 950.424581, 528.4774658, 467473.3101, 0.630, NS
(14, 32), 1053.234641, 617.726492, 508609.9456, 0.940, NS
(20, 28), 817.0812624, 498.9540433, 416354.6908, 0.310, NS
(26, 26), 987.0768045, 631.0217183, 533270.3715, 0.040, HH
(16, 4), 1172.715324, 441.6775085, 586753.6731, 0.520, NS
(27, 2), 1406.401825, 420.1072155, 684165.8646, 0.830, NS
(37, 8), 882.7699092, 661.3383594, 460626.9432, 0.130, NS
(22, 11), 745.6842997, 429.4506139, 381432.2934, 0.240, NS
(37, 32), 915.6210051, 434.0873402, 466158.9393, 0.340, NS
(24, 7), 1276.039536, 492.8340584, 645373.7483, 0.270, NS
(36, 12), 1090.920705, 631.5149376, 570289.7669, 0.010, HH
(26, 34), 1080.623513, 318.7581064, 537923.9210, 0.600, NS
(15, 23), 1057.27013, 542.0890717, 520713.0954, 0.740, NS
(9, 4), 838.8662134, 513.5838693, 411723.8600, 0.720, NS
(23, 28), 1022.899351, 520.715576, 504769.5386, 0.670, NS
(15, 21), 982.4867162, 766.3879724, 492520.1039, 0.420, NS
(9, 36), 732.1972054, 374.7415457, 353180.5882, 0.820, NS
(36, 3), 1421.169808, 606.8580171, 720882.5758, 0.350, NS
(24, 32), 991.1226343, 450.2346642, 490945.5637, 0.650, NS
(1, 23), 1285.805614, 571.5693388, 641337.0849, 0.450, NS
(24, 33), 1210.962032, 615.8567398, 582608.1616, 0.940, NS
(12, 23), 607.1284846, 463.0381038, 298478.7796, 0.740, NS
(30, 7), 1260.108391, 466.323662, 627205.4843, 0.590, NS
(23, 4), 1270.556704, 443.4032977, 631997.9460, 0.540, NS
(22, 27), 764.719202, 554.8080546, 374050.1383, 0.820, NS
(11, 30), 839.162702, 455.1144775, 405500.4650, 0.870, NS
(1, 16), 1141.644043, 452.9912141, 562913.2752, 0.630, NS
(37, 3), 969.1001141, 519.2717871, 491443.8091, 0.370, NS
(18, 19), 1099.526336, 343.7963418, 546949.4573, 0.570, NS
(9, 18), 878.7184522, 610.4603568, 456637.1695, 0.070, NS
(27, 16), 998.1510111, 598.6979331, 506249.9596, 0.250, NS
(27, 11), 868.3094824, 616.0592294, 445564.2916, 0.060, NS
(3, 22), 1182.272765, 268.4137085, 610165.0708, 0.110, NS
(33, 34), 1206.332136, 547.8418283, 595768.4281, 0.660, NS
(15, 14), 1109.003274, 566.3019597, 546304.9817, 0.700, NS
(17, 36), 1275.547529, 551.6201942, 605206.9277, 0.960, NS
(19, 37), 924.7047794, 679.7738199, 478952.6168, 0.090, NS
(27, 34), 864.249672, 673.8760519, 470209.0913, 0.000, NS
(3, 34), 866.5782409, 568.2357859, 450206.0298, 0.220, NS
(37, 28), 1026.670054, 557.8995682, 495419.1363, 0.900, NS
(6, 22), 1277.028344, 556.506879, 670036.3611, 0.020, HH
(21, 17), 812.2508587, 507.2608519, 430553.4576, 0.010, LL
(33, 21), 851.4322129, 477.0778666, 423800.5527, 0.480, NS
(2, 22), 990.8835368, 542.9598335, 483371.1227, 0.800, NS
(31, 6), 876.2333159, 450.5609501, 446806.9794, 0.250, NS
(20, 12), 631.7188049, 349.857466, 324097.9815, 0.190, NS
(25, 23), 1144.582971, 591.8654507, 588635.2789, 0.290, NS
(29, 4), 656.1866149, 615.6537343, 319207.4274, 0.760, NS
(31, 31), 767.0544152, 394.1005419, 360945.2047, 0.980, NS
(31, 23), 958.629427, 408.8359049, 476576.0297, 0.510, NS
(25, 24), 954.205001, 515.7316982, 458625.1385, 0.800, NS
(9, 23), 928.0253031, 423.1510155, 447020.0030, 0.890, NS
(23, 33), 1014.397218, 546.9126469, 506164.4665, 0.520, NS
(27, 21), 819.9890655, 481.1768731, 390992.4339, 0.930, NS
(22, 17), 1009.434016, 615.5318291, 529237.9922, 0.040, HH
(4, 27), 890.7741415, 488.6523357, 438282.1707, 0.700, NS
(4, 5), 1030.730065, 482.8018637, 534967.6048, 0.180, NS
(2, 20), 1180.690771, 460.6463202, 568032.2614, 0.870, NS
(28, 31), 1074.395992, 547.4587342, 546998.0543, 0.240, NS
(33, 19), 1042.864838, 448.8864452, 490101.9964, 0.970, NS
(35, 21), 907.4500693, 594.7827604, 452453.8634, 0.460, NS
(36, 21), 861.9104138, 667.5489628, 419916.7297, 0.860, NS
(36, 22), 608.6624594, 450.1825542, 307364.9031, 0.350, NS
(18, 35), 646.201738, 481.977578, 321033.9670, 0.600, NS
(33, 18), 775.0406533, 603.6410289, 392524.5949, 0.280, NS
(12, 4), 891.8300634, 537.7758565, 442249.2430, 0.590, NS
(20, 5), 886.9731831, 604.8116304, 465664.3831, 0.100, NS
(33, 27), 1253.525828, 436.0443471, 626155.9816, 0.620, NS
(35, 14), 1284.082656, 437.6982479, 674124.4995, 0.060, NS
(26, 6), 835.7904523, 393.9436031, 410897.1440, 0.720, NS
(25, 35), 865.6436035, 664.5394191, 467258.6923, 0.050, NS
(5, 24), 1576.945943, 400.5518455, 797232.1022, 0.340, NS
(11, 25), 653.0244881, 503.8756872, 336743.1167, 0.200, NS
(15, 37), 755.1942919, 518.5395395, 375301.6928, 0.610, NS
(3, 5), 942.2013048, 539.9550367, 495265.2048, 0.110, NS
(22, 2), 788.4819547, 266.6764917, 410196.4377, 0.110, NS
(26, 7), 894.6922395, 297.1461212, 458759.1178, 0.150, NS
(11, 35), 1248.279327, 575.7762527, 628142.1093, 0.390, NS
(31, 1), 1331.716601, 539.4869331, 669438.2839, 0.440, NS
(15, 22), 1307.754232, 562.6570982, 632442.4611, 0.910, NS
(13, 34), 788.6034198, 460.7200385, 409686.2728, 0.090, NS
(22, 37), 910.4445742, 600.0687865, 461418.8212, 0.370, NS
(32, 3), 1006.361749, 485.0883847, 511120.7803, 0.370, NS
(20, 19), 980.4005042, 484.0605658, 507775.0434, 0.200, NS
(4, 23), 1070.157295, 572.0087877, 567308.5861, 0.090, NS
(24, 21), 1211.009918, 581.1326505, 590992.3968, 0.760, NS
(36, 25), 883.5292024, 450.1791541, 453334.5294, 0.290, NS
(6, 32), 1208.816396, 388.155409, 629737.5648, 0.030, HH
(20, 23), 843.0268603, 496.8328857, 418143.0197, 0.610, NS
(20, 31), 1094.565482, 444.6258691, 549731.2214, 0.470, NS
(9, 32), 1018.8489, 389.0489066, 487909.4344, 0.930, NS
(35, 11), 1171.134799, 629.6153571, 580617.5766, 0.600, NS
(1, 22), 805.3800579, 288.1700375, 403596.2499, 0.420, NS
(35, 34), 1411.514397, 466.1380971, 710574.7097, 0.450, NS
(31, 24), 532.0357575, 597.4054246, 265290.0547, 0.500, NS
(10, 12), 852.7396956, 438.5746426, 423600.7809, 0.580, NS
(16, 6), 1333.136556, 591.5398402, 668221.7641, 0.580, NS
(31, 16), 865.8002025, 318.6567879, 431467.3797, 0.500, NS
(37, 7), 602.0383188, 494.8469451, 304969.8405, 0.390, NS
(34, 23), 665.9829251, 434.1688222, 333162.4679, 0.550, NS
(34, 11), 1075.417325, 421.3329935, 548216.0581, 0.200, NS
(20, 4), 665.4190798, 395.6400522, 333549.1931, 0.420, NS
(13, 11), 985.0334521, 459.604347, 493761.2689, 0.480, NS
(24, 11), 1096.31821, 323.8296386, 548937.5719, 0.420, NS
(17, 11), 942.344433, 528.9905472, 475025.1033, 0.380, NS
(19, 6), 1011.985107, 510.1898542, 510597.8667, 0.400, NS
(16, 13), 1211.567784, 681.2396264, 598372.8386, 0.660, NS
(11, 12), 1365.736667, 519.0001666, 675368.3416, 0.680, NS
(17, 34), 1219.774678, 560.1228161, 614416.7346, 0.490, NS
(25, 5), 766.1482385, 495.8117404, 406974.0140, 0.070, NS
(9, 3), 1255.451559, 667.5310311, 623223.1310, 0.620, NS
(21, 37), 1103.096828, 393.5182292, 554897.8828, 0.410, NS
(17, 22), 1344.211093, 610.6942954, 691466.0508, 0.160, NS
(31, 36), 1083.266358, 406.990803, 486068.2801, 0.990, NS
(5, 13), 800.4836806, 294.8287796, 392819.6370, 0.660, NS
(20, 27), 1223.767211, 329.9877688, 606147.2541, 0.600, NS
(34, 12), 945.6470039, 480.074919, 479258.0732, 0.280, NS
(17, 19), 1293.478837, 466.5752518, 664591.8419, 0.230, NS
(37, 24), 737.245036, 404.9823374, 370168.5354, 0.510, NS
(25, 36), 1088.532591, 549.522524, 573165.1755, 0.060, NS
(21, 19), 986.8174413, 267.0065304, 485868.7684, 0.650, NS
(18, 33), 965.1203603, 734.9670019, 468346.4651, 0.890, NS
(32, 33), 1121.191855, 411.9229394, 550516.7816, 0.750, NS
(1, 27), 1290.157704, 365.2427746, 649401.3676, 0.430, NS
(6, 29), 651.6233604, 447.2165294, 326327.7102, 0.460, NS
(6, 17), 995.4578596, 417.5075465, 504455.9863, 0.250, NS
(5, 33), 659.1187833, 335.5013149, 347892.9910, 0.070, NS
(24, 31), 1330.913401, 405.0618002, 674401.8793, 0.270, NS
(35, 6), 1287.579417, 490.6315966, 657686.4340, 0.340, NS
(12, 6), 1035.129022, 511.0281068, 514813.3871, 0.670, NS
(16, 30), 968.5380792, 689.1953117, 475612.9519, 0.790, NS
(27, 26), 884.4016079, 492.5876933, 441223.2347, 0.550, NS
(33, 2), 984.7631025, 529.4234184, 476807.2697, 0.860, NS
(16, 35), 1020.823532, 467.484301, 509218.6587, 0.540, NS
(5, 7), 1130.884169, 441.184737, 570618.7212, 0.350, NS
(15, 10), 1346.52832, 420.4270848, 656711.8964, 0.840, NS
(5, 27), 853.5218848, 465.9180071, 424058.2038, 0.620, NS
(25, 16), 1008.67703, 508.7753661, 502001.6981, 0.580, NS
(2, 30), 1408.70291, 464.4613723, 727123.8701, 0.190, NS
(2, 8), 776.1468797, 599.1351495, 401315.9197, 0.170, NS
(28, 22), 895.5566925, 446.8169295, 463562.5552, 0.050, NS
(6, 12), 622.8337896, 442.019577, 315671.6789, 0.250, NS
(12, 16), 1177.023484, 469.3202325, 547700.2885, 1.000, NS
(6, 8), 753.0482085, 450.9028316, 366792.3232, 0.890, NS
(15, 12), 957.7454766, 459.0260187, 464398.4579, 0.890, NS
(36, 9), 884.2078773, 491.2249028, 445084.2624, 0.460, NS
(26, 1), 746.8541152, 590.1952682, 359666.4863, 0.810, NS
(22, 31), 829.5404016, 403.530705, 409816.7941, 0.700, NS
(26, 19), 1125.95781, 598.9925542, 594916.8780, 0.040, HH
(25, 37), 1020.063603, 529.4929215, 479662.3116, 0.980, NS
(33, 35), 927.6608053, 423.4792765, 440833.6922, 0.900, NS
(19, 28), 803.3038381, 514.9738117, 391428.0056, 0.900, NS
(18, 4), 822.7742812, 771.281029, 419657.1993, 0.230, NS
(10, 28), 1290.628601, 394.7584146, 642513.7106, 0.490, NS
(10, 16), 1152.329131, 514.7556667, 576763.7992, 0.510, NS
(8, 28), 1420.458058, 448.267373, 710432.5868, 0.550, NS
(18, 36), 721.6195212, 593.5194378, 351023.5121, 0.810, NS
(31, 28), 861.6771607, 453.7401116, 402158.1049, 1.000, NS
(36, 26), 1050.888478, 444.6255434, 542228.8001, 0.170, NS
(26, 31), 1250.45034, 480.2810717, 606363.2485, 0.850, NS
(35, 31), 1049.695794, 640.6239006, 501869.5486, 0.900, NS
(22, 32), 1021.881119, 478.4160396, 505504.9972, 0.650, NS
(25, 4), 713.2715515, 539.2888348, 359047.7528, 0.420, NS
(14, 5), 1271.180864, 461.535132, 676518.2909, 0.030, HH
(11, 7), 975.3216754, 401.8741185, 510568.3861, 0.040, HH
(32, 16), 991.2509142, 324.4243024, 486597.2172, 0.780, NS
(33, 3), 960.4283191, 583.0035988, 461969.5105, 0.830, NS
(24, 10), 865.1339766, 374.2048952, 422181.6080, 0.840, NS
(23, 10), 1478.875039, 419.6204696, 738085.1289, 0.520, NS
(10, 25), 847.9444624, 574.8997952, 439374.9416, 0.100, NS
(17, 28), 819.4563691, 546.5595395, 419152.6860, 0.280, NS
(16, 3), 1080.773654, 429.4899778, 522061.9513, 0.840, NS
(5, 1), 1116.519905, 467.2948086, 548328.6004, 0.630, NS
(24, 6), 844.6288591, 484.256642, 424828.2018, 0.450, NS
(29, 7), 969.7063977, 606.5138173, 460858.9618, 0.950, NS
(24, 19), 1187.197653, 531.3710362, 581585.2517, 0.800, NS
(12, 1), 981.1563043, 335.0084146, 508814.2507, 0.030, HH
(31, 35), 713.3379027, 606.320422, 324216.4834, 1.000, NS
(32, 11), 922.4138443, 510.7294182, 460943.1248, 0.390, NS
(34, 5), 1293.331817, 417.5695298, 686135.9549, 0.040, HH
(12, 18), 705.1856462, 467.5709325, 359085.8647, 0.180, NS
(28, 6), 973.5911099, 351.7839185, 492856.5023, 0.410, NS
(29, 31), 1059.074609, 520.9100954, 515205.1899, 0.820, NS
(24, 36), 1228.512223, 395.047104, 593803.5015, 0.850, NS
(13, 33), 590.0058947, 297.4124799, 306498.7910, 0.050, NS
(1, 7), 784.3352671, 668.5513457, 387831.0853, 0.710, NS
(6, 19), 1184.888901, 431.5371664, 645808.4547, 0.000, NS
(20, 16), 1055.659502, 540.6650488, 531046.0898, 0.500, NS
(27, 15), 1146.704608, 539.1189371, 540964.7177, 0.970, NS
(28, 5), 1190.722606, 578.0493742, 587515.0688, 0.680, NS
(17, 23), 801.1295026, 451.3689042, 413312.3700, 0.200, NS
(24, 14), 475.6401515, 567.801444, 227573.1211, 0.960, NS
(2, 15), 866.1996294, 478.11429, 439381.5211, 0.350, NS
(36, 29), 1417.150822, 362.780923, 726397.4633, 0.180, NS
(26, 30), 1022.979391, 479.1562735, 481057.3303, 0.940, NS
(14, 27), 853.7235285, 532.0548138, 444721.5642, 0.070, NS
(15, 33), 1046.313091, 300.6911076, 479151.5730, 1.000, NS
(31, 29), 1148.151795, 453.8880431, 535720.1617, 0.990, NS
(12, 32), 1411.14461, 420.8974417, 650742.6853, 1.000, NS
(36, 4), 970.1054005, 518.9197353, 499800.0540, 0.160, NS
(24, 20), 1455.928328, 448.3775997, 682106.7306, 1.000, NS
(12, 30), 1019.892036, 340.5269989, 490596.6612, 0.960, NS
(14, 7), 951.3671979, 549.7986871, 491690.7460, 0.040, HH
(5, 16), 1543.733416, 530.6214405, 787085.9977, 0.270, NS
(22, 12), 941.5124013, 617.689211, 488021.6025, 0.100, NS
(24, 37), 727.8223308, 465.0704866, 357578.4060, 0.720, NS
(36, 14), 1122.459488, 337.4219375, 556849.8719, 0.500, NS
(22, 1), 1252.572291, 533.9153921, 658588.3272, 0.030, HH
(11, 23), 868.6160893, 465.7518143, 436145.1797, 0.490, NS
(5, 35), 1067.824501, 412.3609929, 550450.2504, 0.180, NS
(17, 25), 708.0954356, 348.9513994, 360695.9775, 0.310, NS
(37, 20), 1017.16258, 503.1213136, 496410.7183, 0.690, NS
(26, 36), 1348.335197, 412.3147046, 669941.9953, 0.580, NS
(36, 30), 660.8051317, 436.318846, 326420.6821, 0.670, NS
(12, 17), 583.215246, 218.1866169, 278329.6348, 0.940, NS
(2, 17), 933.1130302, 521.5234864, 466828.5353, 0.470, NS
(14, 34), 989.2210653, 520.3103089, 514420.9417, 0.050, NS
(22, 24), 1081.164663, 596.6010905, 527798.5510, 0.760, NS
(13, 6), 1094.801606, 560.3827901, 554992.1841, 0.260, NS
(37, 16), 865.3348625, 522.4374314, 448848.5398, 0.160, NS
(31, 27), 1059.899169, 423.036059, 525712.9278, 0.680, NS
(33, 26), 1129.724951, 535.5964712, 549144.2154, 0.790, NS
(26, 23), 907.9032659, 511.2306383, 479416.8733, 0.100, NS
(16, 1), 621.446844, 608.3122445, 314479.8090, 0.370, NS
(16, 26), 776.488547, 519.9173839, 381352.9794, 0.760, NS
(21, 15), 683.5251254, 387.8164267, 342462.3478, 0.400, NS
(6, 36), 838.960244, 688.8767458, 435786.0173, 0.120, NS
(11, 2), 785.4196938, 551.7556353, 401381.4205, 0.160, NS
(25, 25), 1243.727076, 589.0160568, 634997.5771, 0.330, NS
(6, 9), 1012.930139, 343.9090026, 504894.9878, 0.650, NS
(5, 12), 1136.553174, 361.6764259, 570441.8312, 0.420, NS
(19, 15), 950.6736185, 441.0569504, 477710.7100, 0.430, NS
(2, 12), 747.7370135, 628.7692024, 369167.6700, 0.710, NS
(24, 24), 1100.17415, 359.4092088, 541974.9916, 0.640, NS
(18, 5), 741.444239, 481.468055, 381894.2519, 0.170, NS
(29, 5), 1054.2117, 404.8838244, 487589.4405, 1.000, NS
(27, 6), 888.4096741, 403.3876271, 442368.9438, 0.630, NS
(10, 7), 1108.570962, 570.7464709, 553699.3104, 0.500, NS
(7, 34), 1205.439315, 606.8001549, 680596.2434, 0.000, NS
(24, 27), 956.8630618, 486.5504728, 468207.4751, 0.840, NS
(35, 20), 1122.367754, 388.5433031, 600984.3199, 0.010, HH
(12, 15), 1050.401379, 572.2466435, 526931.2490, 0.500, NS
(33, 36), 873.1736136, 405.1666294, 399722.3816, 0.980, NS
(4, 19), 840.7296579, 551.9905908, 423407.3698, 0.410, NS
(31, 4), 1289.620685, 344.5895012, 622692.4213, 0.830, NS
(11, 8), 654.7960439, 635.3205016, 324701.6140, 0.650, NS
(3, 23), 933.7687631, 468.1224098, 487172.1168, 0.120, NS
(25, 7), 1051.723826, 527.5256419, 559757.8974, 0.030, HH
(14, 22), 1226.785066, 515.9369145, 606315.3419, 0.760, NS
(1, 33), 846.6901795, 492.6905774, 441543.5920, 0.100, NS
(14, 3), 913.6727064, 341.3207754, 452118.3081, 0.590, NS
(8, 7), 907.6140564, 430.7466734, 444140.0751, 0.820, NS
(32, 12), 834.2233732, 398.1377594, 419530.9777, 0.470, NS
(22, 26), 1040.069907, 530.5866063, 525269.7243, 0.490, NS
(29, 22), 994.0194492, 478.3971685, 506360.4538, 0.240, NS
(31, 18), 859.8888186, 373.0619208, 441153.9363, 0.190, NS
(10, 5), 1003.792383, 411.7998496, 527345.4821, 0.060, NS
(33, 9), 1244.580007, 452.4106242, 623420.5818, 0.540, NS
(23, 36), 554.1437691, 600.3747581, 276138.1942, 0.490, NS
(23, 5), 940.8325074, 411.6740599, 498085.6703, 0.070, NS
(31, 30), 623.594171, 555.6490026, 313996.0076, 0.440, NS
(32, 28), 1014.433035, 386.148366, 512016.4093, 0.280, NS
(4, 7), 1377.25013, 487.2701517, 714264.6361, 0.100, NS
(11, 10), 1206.71276, 386.66982, 583335.1240, 0.900, NS
(37, 11), 933.6241077, 580.1323914, 477524.4562, 0.270, NS
(1, 36), 956.7199728, 501.6610189, 489247.3768, 0.360, NS
(23, 9), 1034.821065, 353.98946, 518273.3982, 0.500, NS
(17, 5), 1523.835263, 536.7760425, 796803.5332, 0.050, NS
(7, 35), 755.9253483, 487.5785082, 406284.9461, 0.000, NS
(31, 12), 897.6887197, 756.1281696, 425054.3681, 1.000, NS
(22, 23), 1175.989944, 565.029934, 598980.2484, 0.270, NS
(21, 16), 1120.914588, 724.7805621, 555250.5157, 0.660, NS
(10, 32), 738.3093221, 499.427625, 367367.4456, 0.590, NS
(18, 3), 1357.662144, 250.1344543, 686605.0259, 0.360, NS
(7, 28), 1169.55773, 330.1458762, 620004.4469, 0.000, NS
(4, 16), 1279.499392, 622.5559337, 637395.5203, 0.580, NS
(28, 7), 1231.484159, 650.5292129, 609463.1840, 0.710, NS
(18, 7), 702.8732739, 437.1659944, 364069.4743, 0.070, NS
(3, 19), 897.0586363, 720.3870903, 448676.8550, 0.470, NS
(10, 33), 880.4192585, 442.9970166, 456105.8524, 0.070, NS
(27, 24), 1343.289629, 396.6784929, 665440.8362, 0.570, NS
(9, 16), 808.5077734, 451.3848836, 387208.9021, 0.970, NS
(24, 13), 1067.676313, 560.6316713, 541539.2190, 0.270, NS
(36, 24), 815.4448194, 363.4823441, 398663.9090, 0.700, NS
(18, 31), 1046.096778, 536.5017675, 530022.5724, 0.240, NS
(26, 28), 620.8423988, 590.7658746, 326930.8072, 0.050, NS
(18, 26), 1020.930385, 604.951764, 509984.4131, 0.500, NS
(2, 10), 1169.973059, 687.6241964, 593785.5495, 0.300, NS
(31, 15), 1048.033511, 391.9208301, 530980.8947, 0.370, NS
(15, 26), 938.4486778, 485.0597245, 475706.8454, 0.300, NS
(9, 9), 1089.1411, 467.4985846, 531147.7466, 0.860, NS
(21, 23), 842.7595541, 531.6846924, 408063.0075, 0.780, NS
(33, 24), 1057.166211, 501.6151351, 536146.5725, 0.300, NS
(11, 26), 1009.066791, 436.2485503, 513424.2371, 0.270, NS
(10, 26), 1085.962378, 551.9211285, 521253.8272, 0.920, NS
(2, 35), 891.7323528, 533.0877629, 432535.7454, 0.840, NS
(30, 12), 1125.490892, 536.9071217, 556467.0623, 0.610, NS
(31, 37), 1510.967852, 557.1640916, 749990.0927, 0.610, NS
(31, 3), 986.194923, 503.10305, 487168.2108, 0.630, NS
(11, 16), 938.4588756, 391.2663549, 456158.8236, 0.910, NS
(26, 24), 869.4771456, 478.4357132, 439040.8518, 0.340, NS
(21, 24), 1015.489379, 373.2368806, 508170.9198, 0.440, NS
(11, 33), 765.4437874, 459.5041075, 363120.6900, 0.950, NS
(22, 18), 915.9637292, 471.4335138, 447484.9995, 0.820, NS
(14, 36), 485.4013568, 428.8335629, 234786.8074, 0.890, NS
(12, 28), 861.6627115, 530.9956841, 418386.0656, 0.870, NS
(36, 13), 1018.824446, 731.7344368, 530279.7845, 0.060, NS
(1, 3), 1351.720023, 541.6553479, 660493.0813, 0.720, NS
(26, 8), 1055.595516, 609.209825, 494835.3524, 0.940, NS
(24, 26), 966.0893066, 625.1970953, 480117.6356, 0.540, NS
(11, 20), 1164.14677, 635.7311598, 554533.2274, 0.960, NS
(16, 28), 513.9492108, 605.4028603, 252383.3403, 0.810, NS
(15, 1), 1381.643256, 434.4268568, 693508.7487, 0.420, NS
(23, 11), 862.2694011, 621.4691794, 431353.3056, 0.480, NS
(9, 29), 1344.051506, 577.0040449, 643270.7363, 0.950, NS
(22, 34), 768.8547334, 415.1763622, 385460.7502, 0.520, NS
(24, 25), 1177.930042, 471.3196671, 574596.3011, 0.780, NS
(22, 29), 1019.674465, 450.1503782, 520556.3940, 0.380, NS
(30, 35), 1272.660603, 646.5987241, 640508.9784, 0.450, NS
(6, 11), 1077.115685, 691.8364363, 535778.8039, 0.530, NS
(35, 3), 756.3992678, 419.5026736, 357551.7973, 0.910, NS
(19, 24), 1005.886942, 424.8889673, 506505.9775, 0.340, NS
(2, 9), 932.0414292, 473.8745855, 463787.0373, 0.510, NS
(8, 31), 1139.001335, 426.6158565, 573409.0121, 0.500, NS
(19, 35), 953.8343434, 529.3296643, 490056.3542, 0.140, NS
(27, 36), 975.2251688, 442.5318768, 513183.3686, 0.020, HH
(13, 16), 879.6912512, 530.9726355, 436796.9974, 0.580, NS
(30, 31), 1131.197717, 421.8860711, 570873.6584, 0.430, NS
(22, 16), 990.5587537, 594.9803979, 499628.3412, 0.350, NS
(35, 12), 1034.95463, 450.6769503, 492688.9642, 0.940, NS
(35, 36), 1281.167101, 407.5284337, 605586.1546, 0.880, NS
(16, 18), 625.1023457, 569.8949965, 303510.6405, 0.890, NS
(37, 35), 989.1532185, 478.0421158, 478739.0062, 0.820, NS
(29, 23), 994.6439981, 480.1919401, 508688.5718, 0.280, NS
(5, 32), 1093.304246, 452.1741453, 569457.1643, 0.120, NS
(24, 3), 866.9245221, 483.926709, 430983.1981, 0.510, NS
(24, 16), 994.1471477, 599.5061945, 500881.6688, 0.420, NS
(6, 3), 1183.857333, 463.5921005, 596460.0586, 0.460, NS
(9, 6), 951.1784214, 528.9035729, 481407.2117, 0.280, NS
(19, 26), 1027.570904, 469.1433373, 516033.0418, 0.460, NS
(6, 35), 1239.646459, 524.3608576, 644218.8694, 0.070, NS
(5, 2), 635.8699847, 513.2189046, 323556.7940, 0.360, NS
